path,type,parent
src,directory,
src/webview,directory,src
src/webview/context-menu,directory,src/webview
src/webview/context-menu/ContextMenuController.ts,file,src/webview/context-menu
src/webview/context-menu/ContextMenuView.ts,file,src/webview/context-menu
src/webview/context-menu/ContextMenuItems.ts,file,src/webview/context-menu
src/webview/context-menu/FuzzyFilter.ts,file,src/webview/context-menu
src/webview/context-menu/PickerPanel.ts,file,src/webview/context-menu
src/webview/context-menu/FilePicker.ts,file,src/webview/context-menu
src/webview/context-menu/FolderPicker.ts,file,src/webview/context-menu
src/webview/context-menu/ListPicker.ts,file,src/webview/context-menu
src/webview/context-menu/types.ts,file,src/webview/context-menu
src/webview/context-menu/styles.css,file,src/webview/context-menu
src/webview/badges,directory,src/webview
src/webview/badges/BadgeManager.ts,file,src/webview/badges
src/webview/badges/BadgeRenderer.ts,file,src/webview/badges
src/webview/badges/types.ts,file,src/webview/badges
src/webview/badges/styles.css,file,src/webview/badges
src/webview/bridge,directory,src/webview
src/webview/bridge/MessageBridge.ts,file,src/webview/bridge
src/webview/bridge/types.ts,file,src/webview/bridge
src/webview/input,directory,src/webview
src/webview/input/InputAreaIntegration.ts,file,src/webview/input
src/extension,directory,src
src/extension/providers,directory,src/extension
src/extension/providers/ContextResolverProvider.ts,file,src/extension/providers
src/extension/providers/FileTreeProvider.ts,file,src/extension/providers
src/extension/providers/GitDiffProvider.ts,file,src/extension/providers
src/extension/providers/TerminalProvider.ts,file,src/extension/providers
src/extension/providers/DiagnosticsProvider.ts,file,src/extension/providers
src/extension/providers/SpecProvider.ts,file,src/extension/providers
src/extension/providers/SteeringProvider.ts,file,src/extension/providers
src/extension/providers/McpProvider.ts,file,src/extension/providers
src/extension/providers/CurrentFileProvider.ts,file,src/extension/providers
src/extension/message-handler,directory,src/extension
src/extension/message-handler/ContextMessageHandler.ts,file,src/extension/message-handler
src/shared,directory,src
src/shared/protocol.ts,file,src/shared
package.json,file,
tsconfig.json,file,
